distance,consume,speed,temp_inside,temp_outside,specials,gas_type,AC,rain,sun,refill liters,refill gas,l/km,fuel_consumed,cost_trip,temp_diff
28.0,5.0,26,21.5,12,,E10,0,0,0,45,E10,0.05,1.4000000000000001,2.49,9.5
12.0,4.2,30,21.5,13,,E10,0,0,0,,,0.042,0.504,0.9,8.5
11.2,5.5,38,21.5,15,,E10,0,0,0,,,0.055,0.616,1.1,6.5
12.9,3.9,36,21.5,14,,E10,0,0,0,,,0.039,0.5031,0.9,7.5
18.5,4.5,46,21.5,15,,E10,0,0,0,,,0.045,0.8325,1.48,6.5
8.3,6.4,50,21.5,10,,E10,0,0,0,,,0.064,0.5312,0.95,11.5
7.8,4.4,43,21.5,11,,E10,0,0,0,,,0.044000000000000004,0.3432,0.61,10.5
12.3,5.0,40,21.5,6,,E10,0,0,0,,,0.05,0.6150000000000001,1.09,15.5
4.9,6.4,26,21.5,4,,E10,0,0,0,,,0.064,0.31360000000000005,0.56,17.5
11.9,5.3,30,21.5,9,,E10,0,0,0,,,0.053,0.6307,1.12,12.5
12.4,5.6,42,21.5,4,,E10,0,0,0,,,0.055999999999999994,0.6943999999999999,1.24,17.5
11.8,4.6,38,21.5,0,,E10,0,0,0,,,0.046,0.5428000000000001,0.97,21.5
12.3,5.9,59,21.5,10,,E10,0,0,0,,,0.059000000000000004,0.7257000000000001,1.29,11.5
24.7,5.1,58,21.5,12,,E10,0,0,0,,,0.051,1.2596999999999998,2.24,9.5
12.4,4.7,46,21.5,11,,E10,0,0,0,,,0.047,0.5828,1.04,10.5
17.3,5.1,24,21.5,5,,E10,0,0,0,,,0.051,0.8823,1.57,16.5
33.4,5.6,36,21.5,3,,E10,0,0,0,,,0.055999999999999994,1.8703999999999996,3.33,18.5
11.8,5.1,32,21.5,3,,E10,0,0,0,,,0.051,0.6018,1.07,18.5
25.9,4.9,39,21.5,8,,E10,0,0,0,,,0.049,1.2691,2.26,13.5
11.8,4.7,40,21.5,4,,E10,0,0,0,,,0.047,0.5546,0.99,17.5
25.3,5.5,32,21.5,3,,E10,0,0,0,,,0.055,1.3915,2.48,18.5
14.2,5.9,38,21.5,1,,E10,0,0,0,,,0.059000000000000004,0.8378,1.49,20.5
17.9,5.7,37,21.5,1,,E10,0,0,0,,,0.057,1.0203,1.82,20.5
11.8,4.7,36,21.5,1,,E10,0,0,0,,,0.047,0.5546,0.99,20.5
12.3,5.9,62,21.5,6,,E10,0,0,0,,,0.059000000000000004,0.7257000000000001,1.29,15.5
12.4,4.1,57,21.5,9,,E10,0,0,0,,,0.040999999999999995,0.5084,0.9,12.5
18.4,5.7,21,22.5,2,,E10,0,0,0,,,0.057,1.0488,1.87,20.5
18.4,5.8,28,21.5,3,,E10,0,0,0,,,0.057999999999999996,1.0672,1.9,18.5
18.3,5.5,29,21.5,1,,E10,0,0,0,,,0.055,1.0065,1.79,20.5
18.4,5.7,35,21.5,4,,E10,0,0,0,,,0.057,1.0488,1.87,17.5
12.3,5.3,51,21.5,11,,E10,0,0,0,,,0.053,0.6519,1.16,10.5
11.8,5.0,29,21.5,10,,E10,0,0,0,,,0.05,0.5900000000000001,1.05,11.5
12.3,5.6,58,21.5,8,,E10,0,0,0,,,0.055999999999999994,0.6888,1.23,13.5
32.6,4.8,40,21.5,7,,E10,0,0,0,,,0.048,1.5648000000000002,2.79,14.5
19.0,4.3,36,21.5,7,,E10,0,0,0,,,0.043,0.817,1.45,14.5
12.1,5.7,36,21.5,8,,E10,0,0,0,,,0.057,0.6897,1.23,13.5
20.0,5.2,37,21.5,4,,E10,0,0,0,,,0.052000000000000005,1.04,1.85,17.5
4.9,7.4,26,21.5,6,,E10,0,0,0,,,0.07400000000000001,0.3626000000000001,0.65,15.5
11.8,4.8,23,21.5,9,,E10,0,0,0,,,0.048,0.5664,1.01,12.5
12.3,6.5,58,21.5,7,,E10,0,0,0,,,0.065,0.7995000000000001,1.42,14.5
12.4,4.0,55,21.5,7,AC rain,E10,1,1,0,,,0.04,0.49600000000000005,0.88,14.5
4.5,5.0,29,21.5,7,AC,E10,1,0,0,,,0.05,0.225,0.4,14.5
11.7,4.6,37,21.5,6,,E10,0,0,0,,,0.046,0.5382,0.96,15.5
10.2,4.3,44,21.5,7,,E10,0,0,0,,,0.043,0.43859999999999993,0.78,14.5
5.4,3.3,32,21.5,7,,SP98,0,0,0,"37,6",SP98,0.033,0.17820000000000003,0.33,14.5
2.0,9.9,21,21.5,4,,SP98,0,0,0,,,0.099,0.198,0.36,17.5
14.2,5.1,32,21.5,7,,SP98,0,0,0,,,0.051,0.7242,1.33,14.5
16.0,4.9,25,21.5,8,,SP98,0,0,0,,,0.049,0.784,1.43,13.5
11.8,4.9,25,21.5,11,,SP98,0,0,0,,,0.049,0.5782,1.06,10.5
27.3,4.7,36,21.5,10,,SP98,0,0,0,,,0.047,1.2831000000000001,2.35,11.5
11.8,5.1,29,21.5,5,rain,SP98,0,1,0,,,0.051,0.6018,1.1,16.5
10.6,4.9,63,21.5,6,,SP98,0,0,0,,,0.049,0.5194,0.95,15.5
11.6,4.2,61,21.5,7,,SP98,0,0,0,,,0.042,0.4872,0.89,14.5
13.1,6.1,46,21.5,6,rain,SP98,0,1,0,,,0.061,0.7990999999999999,1.46,15.5
6.1,6.4,28,21.5,8,,SP98,0,0,0,,,0.064,0.39039999999999997,0.71,13.5
153.5,4.9,82,21.5,3,rain,SP98,0,1,0,,,0.049,7.5215000000000005,13.76,18.5
11.8,4.9,24,21.5,7,,SP98,0,0,0,,,0.049,0.5782,1.06,14.5
12.3,6.2,61,21.5,8,,SP98,0,0,0,,,0.062,0.7626000000000001,1.4,13.5
12.4,4.2,57,21.5,8,,SP98,0,0,0,,,0.042,0.5208,0.95,13.5
12.3,5.7,52,21.5,8,rain,SP98,0,1,0,,,0.057,0.7011000000000001,1.28,13.5
2.9,7.9,18,21.5,9,AC rain,SP98,1,1,0,,,0.079,0.2291,0.42,12.5
2.1,12.2,23,21.5,9,,SP98,1,1,0,,,0.122,0.2562,0.47,12.5
9.8,5.8,24,21.5,6,,SP98,0,0,0,,,0.057999999999999996,0.5684,1.04,15.5
6.8,5.3,26,21.5,6,,SP98,0,0,0,,,0.053,0.3604,0.66,15.5
12.4,5.4,24,21.5,7,,SP98,0,0,0,,,0.054000000000000006,0.6696000000000001,1.23,14.5
12.4,4.7,57,21.5,8,,SP98,0,0,0,,,0.047,0.5828,1.07,13.5
11.8,4.6,41,21.5,6,,SP98,0,0,0,,,0.046,0.5428000000000001,0.99,15.5
12.3,5.4,55,21.5,8,,SP98,0,0,0,,,0.054000000000000006,0.6642000000000001,1.22,13.5
14.0,4.3,40,21.5,8,,SP98,0,0,0,,,0.043,0.602,1.1,13.5
11.8,4.5,37,21.5,4,AC,SP98,1,0,0,,,0.045,0.531,0.97,17.5
12.3,5.2,55,21.5,12,,SP98,0,0,0,,,0.052000000000000005,0.6396000000000001,1.17,9.5
2.0,6.2,20,21.5,10,,SP98,0,0,0,,,0.062,0.124,0.23,11.5
13.9,5.1,29,21.5,6,,SP98,0,0,0,,,0.051,0.7089,1.3,15.5
9.7,3.9,42,21.5,8,,SP98,0,0,0,,,0.039,0.37829999999999997,0.69,13.5
11.6,5.0,25,21.5,6,,SP98,0,0,0,,,0.05,0.58,1.06,15.5
14.2,5.4,38,21.5,7,,SP98,0,0,0,,,0.054000000000000006,0.7668,1.4,14.5
11.8,4.5,39,21.5,6,,SP98,0,0,0,,,0.045,0.531,0.97,15.5
24.8,5.1,50,21.5,9,,SP98,0,0,0,,,0.051,1.2648,2.31,12.5
12.4,4.7,56,21.5,7,,SP98,0,0,0,,,0.047,0.5828,1.07,14.5
34.8,4.0,28,20.0,4,,SP98,0,0,0,,,0.04,1.392,2.55,16.0
14.2,5.4,36,20.0,6,,SP98,0,0,0,,,0.054000000000000006,0.7668,1.4,14.0
5.2,4.5,39,20.0,10,,SP98,0,0,0,,,0.045,0.23399999999999999,0.43,10.0
10.5,3.6,42,20.0,10,,SP98,0,0,0,"37,7",SP98,0.036000000000000004,0.37800000000000006,0.69,10.0
12.3,5.2,57,20.0,10,,SP98,0,0,0,,,0.052000000000000005,0.6396000000000001,1.17,10.0
11.8,4.9,25,20.0,11,,SP98,0,0,0,,,0.049,0.5782,1.06,9.0
12.3,6.2,58,20.0,11,rain,SP98,0,1,0,,,0.062,0.7626000000000001,1.4,9.0
13.2,4.3,51,20.0,11,rain,SP98,0,1,0,,,0.043,0.5675999999999999,1.04,9.0
13.0,5.0,45,20.0,11,rain,SP98,0,1,0,,,0.05,0.65,1.19,9.0
12.9,5.1,32,20.0,11,,SP98,0,0,0,,,0.051,0.6578999999999999,1.2,9.0
13.9,5.6,22,20.0,8,,SP98,0,0,0,,,0.055999999999999994,0.7784,1.42,12.0
11.8,4.3,37,20.0,6,,SP98,0,0,0,,,0.043,0.5074,0.93,14.0
12.2,5.8,60,20.0,11,,SP98,0,0,0,,,0.057999999999999996,0.7075999999999999,1.29,9.0
12.5,4.0,51,20.0,13,,SP98,0,0,0,,,0.04,0.5,0.92,7.0
12.4,4.7,43,21.929521276595743,10,,SP98,0,0,0,,,0.047,0.5828,1.07,11.9
11.8,5.9,21,20.0,9,AC rain,SP98,1,1,0,,,0.059000000000000004,0.6962,1.27,11.0
11.8,5.3,52,21.929521276595743,11,,SP98,0,0,0,,,0.053,0.6254000000000001,1.14,10.9
12.5,4.2,57,20.0,11,,SP98,0,0,0,,,0.042,0.525,0.96,9.0
15.7,5.3,33,21.929521276595743,9,,SP98,0,0,0,,,0.053,0.8321,1.52,12.9
12.9,5.7,35,21.929521276595743,9,,SP98,0,0,0,,,0.057,0.7353000000000001,1.35,12.9
6.4,4.4,37,21.929521276595743,10,,SP98,0,0,0,,,0.044000000000000004,0.2816,0.52,11.9
5.3,4.1,34,21.929521276595743,9,,SP98,0,0,0,,,0.040999999999999995,0.21729999999999997,0.4,12.9
26.2,5.8,71,21.0,8,AC rain,SP98,1,1,0,,,0.057999999999999996,1.5195999999999998,2.78,13.0
18.8,5.0,62,21.929521276595743,9,rain,SP98,0,1,0,,,0.05,0.9400000000000001,1.72,12.9
4.9,6.9,25,21.0,12,rain,SP98,0,1,0,,,0.069,0.33810000000000007,0.62,9.0
12.4,5.4,18,21.0,11,AC rain,SP98,1,1,0,,,0.054000000000000006,0.6696000000000001,1.23,10.0
22.9,5.3,45,20.5,7,,SP98,0,0,0,,,0.053,1.2137,2.22,13.5
162.7,5.5,75,23.0,1,,SP98,0,0,0,45,SP98,0.055,8.9485,16.38,22.0
4.9,6.5,26,21.0,1,,SP98,0,0,0,,,0.065,0.31850000000000006,0.58,20.0
11.8,4.7,36,21.0,4,,SP98,0,0,0,,,0.047,0.5546,1.01,17.0
16.6,5.1,56,21.0,7,,SP98,0,0,0,,,0.051,0.8466,1.55,14.0
12.4,5.7,37,21.0,7,,SP98,0,0,0,,,0.057,0.7068000000000001,1.29,14.0
15.9,5.4,25,21.0,7,,SP98,0,0,0,,,0.054000000000000006,0.8586000000000001,1.57,14.0
5.1,8.7,21,23.5,5,,SP98,0,0,0,,,0.087,0.44369999999999993,0.81,18.5
22.4,4.9,66,20.5,7,,SP98,0,0,0,,,0.049,1.0976,2.01,13.5
31.1,4.7,42,20.5,7,,SP98,0,0,0,,,0.047,1.4617,2.67,13.5
4.9,6.3,27,20.5,3,,SP98,0,0,0,,,0.063,0.30870000000000003,0.56,17.5
11.8,5.1,26,23.0,4,rain,SP98,0,1,0,,,0.051,0.6018,1.1,19.0
22.9,6.0,42,23.0,4,rain,SP98,0,1,0,,,0.06,1.3739999999999999,2.51,19.0
12.4,4.6,38,23.0,1,snow,SP98,0,1,0,,,0.046,0.5704,1.04,22.0
12.9,5.8,40,23.0,4,,SP98,0,0,0,,,0.057999999999999996,0.7482,1.37,19.0
11.8,5.1,43,23.0,0,,SP98,0,0,0,,,0.051,0.6018,1.1,23.0
12.2,5.8,58,23.0,2,,SP98,0,0,0,,,0.057999999999999996,0.7075999999999999,1.29,21.0
24.8,4.6,55,23.0,3,,SP98,0,0,0,,,0.046,1.1408,2.09,20.0
14.2,5.6,24,23.0,8,,SP98,0,0,0,,,0.055999999999999994,0.7951999999999999,1.46,15.0
11.8,4.6,38,23.0,0,snow,SP98,0,1,0,,,0.046,0.5428000000000001,0.99,23.0
12.2,6.3,57,23.0,0,snow,SP98,0,1,0,,,0.063,0.7686,1.41,23.0
24.7,5.5,56,25.0,1,,SP98,0,0,0,,,0.055,1.3585,2.49,24.0
6.8,4.3,46,24.0,2,,SP98,0,0,0,,,0.043,0.2924,0.54,22.0
17.3,5.6,37,21.5,1,,SP98,0,0,0,,,0.055999999999999994,0.9688,1.77,20.5
11.8,4.3,44,21.5,-3,,SP98,0,0,0,,,0.043,0.5074,0.93,24.5
15.9,5.7,46,21.5,5,,SP98,0,0,0,,,0.057,0.9063000000000001,1.66,16.5
5.1,6.4,39,21.5,4,,SP98,0,0,0,,,0.064,0.32639999999999997,0.6,17.5
16.1,4.5,33,21.5,6,,SP98,0,0,0,,,0.045,0.7245,1.33,15.5
11.8,4.5,43,21.5,3,,SP98,0,0,0,,,0.045,0.531,0.97,18.5
4.2,6.0,26,21.5,5,,SP98,0,0,0,,,0.06,0.252,0.46,16.5
17.4,5.1,30,21.5,5,,SP98,0,0,0,,,0.051,0.8873999999999999,1.62,16.5
23.5,6.0,25,21.5,5,rain,SP98,0,1,0,,,0.06,1.41,2.58,16.5
11.8,4.5,38,21.5,5,rain,SP98,0,1,0,,,0.045,0.531,0.97,16.5
12.3,6.1,61,21.5,10,rain,SP98,0,1,0,,,0.061,0.7503000000000001,1.37,11.5
16.1,5.4,24,21.5,7,rain,E10,0,1,0,38,E10,0.054000000000000006,0.8694000000000002,1.55,14.5
11.8,4.3,40,21.5,10,rain,E10,0,1,0,,,0.043,0.5074,0.9,11.5
12.3,5.4,58,21.5,13,,E10,0,0,0,,,0.054000000000000006,0.6642000000000001,1.18,8.5
12.4,4.3,49,21.5,17,,E10,0,0,0,,,0.043,0.5332,0.95,4.5
7.0,5.2,25,21.5,17,,E10,0,0,0,,,0.052000000000000005,0.36400000000000005,0.65,4.5
11.8,4.1,37,21.5,10,,E10,0,0,0,,,0.040999999999999995,0.48379999999999995,0.86,11.5
20.1,4.4,41,21.5,18,,E10,0,0,0,,,0.044000000000000004,0.8844000000000002,1.57,3.5
20.8,4.5,45,21.5,10,,E10,0,0,0,,,0.045,0.9359999999999999,1.67,11.5
1.7,10.8,14,21.5,10,rain,E10,0,1,0,,,0.10800000000000001,0.1836,0.33,11.5
35.9,4.7,45,21.5,12,,E10,0,0,0,,,0.047,1.6873,3.0,9.5
36.9,4.8,52,21.5,5,,E10,0,0,0,,,0.048,1.7711999999999999,3.15,16.5
16.8,4.0,46,21.5,8,,E10,0,0,0,,,0.04,0.672,1.2,13.5
9.9,5.0,28,21.5,9,,E10,0,0,0,,,0.05,0.49500000000000005,0.88,12.5
22.9,4.6,61,21.5,7,rain,E10,0,1,0,,,0.046,1.0534,1.88,14.5
17.3,5.0,61,21.5,6,AC rain,E10,1,1,0,,,0.05,0.8650000000000001,1.54,15.5
11.8,4.3,37,21.5,7,,E10,0,0,0,,,0.043,0.5074,0.9,14.5
36.6,5.2,80,21.5,7,rain,E10,0,1,0,,,0.052000000000000005,1.9032000000000002,3.39,14.5
44.9,4.7,62,21.5,8,,E10,0,0,0,,,0.047,2.1103,3.76,13.5
11.8,4.2,34,21.5,9,rain,E10,0,1,0,,,0.042,0.49560000000000004,0.88,12.5
21.6,5.3,44,21.5,9,rain,E10,0,1,0,,,0.053,1.1448,2.04,12.5
39.4,5.3,60,21.5,9,rain,E10,0,1,0,,,0.053,2.0882,3.72,12.5
5.1,8.1,39,21.5,4,,E10,0,0,0,,,0.081,0.41309999999999997,0.74,17.5
26.6,4.8,38,21.5,7,,E10,0,0,0,,,0.048,1.2768000000000002,2.27,14.5
53.2,5.1,71,21.5,2,,E10,0,0,0,,,0.051,2.7132,4.83,19.5
18.9,4.4,53,21.5,2,,E10,0,0,0,,,0.044000000000000004,0.8316,1.48,19.5
43.5,5.0,80,21.5,3,,E10,0,0,0,,,0.05,2.1750000000000003,3.87,18.5
6.1,6.3,26,21.5,5,,E10,0,0,0,,,0.063,0.3843,0.68,16.5
16.4,4.8,49,21.5,5,,E10,0,0,0,,,0.048,0.7871999999999999,1.4,16.5
12.3,6.1,40,21.5,6,,E10,0,0,0,,,0.061,0.7503000000000001,1.34,15.5
21.1,4.6,36,21.5,8,,E10,0,0,0,,,0.046,0.9706,1.73,13.5
21.1,4.8,43,21.5,7,,E10,0,0,0,,,0.048,1.0128000000000001,1.8,14.5
22.7,4.7,55,21.5,6,,E10,0,0,0,,,0.047,1.0669,1.9,15.5
44.4,4.8,38,21.5,8,,E10,0,0,0,"38,3",E10,0.048,2.1311999999999998,3.79,13.5
35.8,4.4,51,21.5,6,,E10,0,0,0,,,0.044000000000000004,1.5752,2.8,15.5
11.8,4.9,44,21.5,0,,E10,0,0,0,,,0.049,0.5782,1.03,21.5
26.2,4.9,42,21.5,6,,E10,0,0,0,,,0.049,1.2838,2.29,15.5
40.6,4.4,44,21.0,3,,E10,0,0,0,,,0.044000000000000004,1.7864000000000002,3.18,18.0
12.4,5.3,38,21.0,-5,,E10,0,0,0,,,0.053,0.6572,1.17,26.0
14.1,5.3,47,21.0,-3,,E10,0,0,0,,,0.053,0.7473,1.33,24.0
58.7,4.8,75,21.0,0,,E10,0,0,0,,,0.048,2.8176,5.02,21.0
16.2,5.2,29,21.0,0,,E10,0,0,0,,,0.052000000000000005,0.8424,1.5,21.0
12.3,4.9,50,22.5,0,,E10,0,0,0,,,0.049,0.6027,1.07,22.5
12.3,7.1,52,22.5,0,AC snow,E10,1,1,0,,,0.071,0.8733,1.55,22.5
12.4,5.2,51,22.5,1,,E10,0,0,0,,,0.052000000000000005,0.6448,1.15,21.5
31.8,4.7,59,22.5,3,,E10,0,0,0,,,0.047,1.4946,2.66,19.5
12.3,5.1,55,22.5,8,,E10,0,0,0,,,0.051,0.6273,1.12,14.5
51.6,5.0,73,22.5,12,,E10,0,0,0,,,0.05,2.58,4.59,10.5
38.6,4.6,44,22.5,10,,E10,0,0,0,,,0.046,1.7756,3.16,12.5
12.3,4.8,41,22.5,7,,E10,0,0,0,,,0.048,0.5904,1.05,15.5
81.2,4.4,69,22.0,13,,E10,0,0,0,,,0.044000000000000004,3.5728000000000004,6.36,9.0
130.3,4.6,85,22.0,12,,E10,0,0,0,,,0.046,5.9938,10.67,10.0
67.2,4.3,67,22.0,18,,E10,0,0,0,,,0.043,2.8895999999999997,5.14,4.0
43.7,4.7,44,22.0,9,half rain half sun,SP98,0,1,0,10,SP98,0.047,2.0539,3.76,13.0
12.1,4.2,43,22.0,4,,SP98,0,0,0,39,SP98,0.042,0.5082,0.93,18.0
